id,max_head,min_head,max_body,min_body,entropy,depth_vector_1,depth_vector_2,depth_vector_3,depth_vector_4,area_head,area_body,local_binary
2.0,1731.0,1680.0,1453.0,1306.0,0.03370038596893851,9333.0,0.0,0.0,704.0,9159.0,972.0,493.7692307692308
2.0,1741.0,1661.0,1722.0,1306.0,0.05869984077492086,10775.0,0.0,0.0,1003.0,1.0,1.0,598.7692307692307
2.0,1747.0,1652.0,1476.0,1388.0,0.06548592208665156,12082.0,62.0,0.0,757.0,12048.5,700.5,639.8846153846154
2.0,1756.0,1683.0,1515.0,1361.0,0.06555784443698373,9460.0,0.0,1740.0,1765.0,26.5,0.0,646.9230769230769
2.0,1740.0,1564.0,1461.0,995.0,0.05771254458077841,11309.0,86.0,0.0,111.0,64.5,45.0,613.8461538461538
2.0,1744.0,1564.0,1464.0,998.0,0.061275560585403184,11195.0,63.0,3.0,536.0,11068.5,32.0,667.8846153846154
2.0,1749.0,1564.0,1467.0,1002.0,0.0597328890278348,10781.0,24.0,44.0,673.0,10653.5,7.0,636.1153846153846
2.0,1749.0,1564.0,1467.0,1002.0,0.0597328890278348,10781.0,24.0,44.0,673.0,10653.5,7.0,636.1153846153846
2.0,1760.0,1669.0,1475.0,1388.0,0.047432234953093254,11064.0,88.0,0.0,279.0,10931.5,278.0,641.5384615384615
2.0,1761.0,1703.0,1467.0,1406.0,0.033306875538386564,10243.0,0.0,0.0,176.0,10052.0,140.5,562.7692307692307
2.0,1785.0,1675.0,1421.0,1115.0,0.061002358232083595,11320.0,31.0,17.0,0.0,11162.5,1.0,605.0
2.0,1786.0,1675.0,1563.0,1212.0,0.04730548320863553,11699.0,4.0,41.0,34.0,0.0,29.5,614.6923076923077
2.0,1760.0,1659.0,1558.0,1447.0,0.07563539712317172,6525.0,387.0,3824.0,683.0,0.0,4353.0,513.0769230769231
2.0,1760.0,1659.0,1558.0,1447.0,0.07563539712317172,6525.0,387.0,3824.0,683.0,0.0,4353.0,513.0769230769231
2.0,1760.0,1659.0,1558.0,1447.0,0.07563539712317172,6525.0,387.0,3824.0,683.0,0.0,4353.0,513.0769230769231
2.0,1760.0,1659.0,1558.0,1447.0,0.07563539712317172,6525.0,387.0,3824.0,683.0,0.0,4353.0,513.0769230769231
2.0,1760.0,1659.0,1558.0,1447.0,0.07563539712317172,6525.0,387.0,3824.0,683.0,0.0,4353.0,513.0769230769231
2.0,1761.0,1656.0,1464.0,1293.0,0.06094168130419758,12577.0,15.0,0.0,343.0,0.5,535.5,650.0
2.0,1763.0,1684.0,1466.0,1328.0,0.05169161184772541,12362.0,1.0,0.0,648.0,12217.5,797.5,632.3076923076923
6.0,1793.0,1659.0,0,0,0.13466355868982424,5793.0,5519.0,0.0,0.0,10957.0,0,500.0
6.0,1796.0,1669.0,0,0,0.14760124157050722,5906.0,5520.0,0.0,0.0,10979.5,0,470.0769230769231
6.0,1740.0,1540.0,1539.0,1447.0,0.10603329620649286,11018.0,4363.0,4437.0,185.0,16636.5,12.5,1033.8461538461538
6.0,1740.0,1540.0,1539.0,1447.0,0.10603329620649286,11018.0,4363.0,4437.0,185.0,16636.5,12.5,1033.8461538461538
6.0,1740.0,1540.0,1539.0,1447.0,0.10603329620649286,11018.0,4363.0,4437.0,185.0,16636.5,12.5,1033.8461538461538
6.0,1740.0,1540.0,1539.0,1447.0,0.10603329620649286,11018.0,4363.0,4437.0,185.0,16636.5,12.5,1033.8461538461538
6.0,1745.0,1545.0,1544.0,1019.0,0.09269978209537376,8618.0,2199.0,1295.0,130.0,14.0,65.0,576.1538461538462
6.0,1759.0,1559.0,1558.0,1450.0,0.1322511307478426,13481.0,556.0,3414.0,109.0,0.0,241.5,797.3846153846154
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1762.0,1562.0,1561.0,1455.0,0.14447325147723764,13336.0,936.0,3341.0,300.0,0.5,195.0,819.5
6.0,1765.0,1567.0,1564.0,1407.0,0.12590256691636145,10242.0,1138.0,2974.0,1873.0,10999.5,0.0,775.8461538461538
